# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-1 75 104 ee0000
-12 76 104 ffcc66
-11 76 104 ee0000
-10 76 104 ee0000
-9 76 104 ee0000
-8 76 104 ee0000
-7 76 104 ee0000
-6 76 104 ee0000
-5 76 104 ee0000
-4 76 104 ee0000
-3 76 104 ee0000
-2 76 104 ee0000
-1 76 104 ee0000
-13 77 104 ffcc66
-12 77 104 ffcc66
-11 77 104 ee0000
-10 77 104 ee0000
-9 77 104 ee0000
-8 77 104 ee0000
-7 77 104 ee0000
-6 77 104 ee0000
-5 77 104 ee0000
-4 77 104 ee0000
-3 77 104 ee0000
-2 77 104 ee0000
-1 77 104 ee0000
-13 78 104 ffcc66
-12 78 104 ee0000
-11 78 104 ee0000
-10 78 104 ee0000
-9 78 104 ee0000
-8 78 104 ee0000
-7 78 104 bbbbbb
-6 78 104 bbbbbb
-5 78 104 bbbbbb
-4 78 104 ee0000
-3 78 104 ee0000
-2 78 104 ee0000
-1 78 104 ee0000
-13 79 104 ffcc66
-12 79 104 ee0000
-11 79 104 ee0000
-10 79 104 ee0000
-9 79 104 ee0000
-8 79 104 ee0000
-7 79 104 bbbbbb
-6 79 104 bbbbbb
-5 79 104 bbbbbb
-4 79 104 ee0000
-3 79 104 ee0000
-2 79 104 ee0000
-1 79 104 ee0000
-6 68 105 ffcc66
-5 68 105 ffcc66
-4 68 105 ffcc66
-3 68 105 ffcc66
-8 69 105 ffcc66
-7 69 105 ffcc66
-6 69 105 ffcc66
-5 69 105 ffcc66
-4 69 105 ffcc66
-3 69 105 ffcc66
-2 69 105 ffcc66
-1 69 105 ffcc66
-9 70 105 ffcc66
-8 70 105 ffcc66
-7 70 105 ee0000
-6 70 105 ee0000
-5 70 105 ee0000
-4 70 105 ee0000
-3 70 105 ee0000
-2 70 105 ffcc66
-1 70 105 ffcc66
-10 71 105 ffcc66
-9 71 105 ffcc66
-8 71 105 ee0000
-7 71 105 ee0000
-6 71 105 ee0000
-5 71 105 ee0000
-4 71 105 ee0000
-3 71 105 ee0000
-2 71 105 ee0000
-1 71 105 ffcc66
-11 72 105 ffcc66
-10 72 105 ffcc66
-9 72 105 ee0000
-8 72 105 ee0000
-7 72 105 ee0000
-6 72 105 ee0000
-5 72 105 ee0000
-4 72 105 ee0000
-3 72 105 ee0000
-2 72 105 ee0000
-1 72 105 ee0000
-11 73 105 ffcc66
-10 73 105 ffcc66
-9 73 105 ee0000
-8 73 105 ee0000
-7 73 105 ee0000
-6 73 105 ee0000
-5 73 105 ee0000
-4 73 105 ee0000
-3 73 105 ee0000
-2 73 105 ee0000
-1 73 105 ee0000
-12 74 105 ffcc66
-11 74 105 ffcc66
-10 74 105 ee0000
-9 74 105 ee0000
-8 74 105 ee0000
-7 74 105 ee0000
-6 74 105 ee0000
-5 74 105 ee0000
-4 74 105 ee0000
-3 74 105 ee0000
-2 74 105 ee0000
-1 74 105 ee0000
-12 75 105 ffcc66
-11 75 105 ffcc66
-10 75 105 ee0000
-9 75 105 ee0000
-8 75 105 ee0000
-7 75 105 ee0000
-6 75 105 ee0000
-5 75 105 ee0000
-4 75 105 ee0000
-3 75 105 ee0000
-2 75 105 ee0000
-1 75 105 ee0000
-12 76 105 ffcc66
-11 76 105 ee0000
-10 76 105 ee0000
-9 76 105 ee0000
-8 76 105 ee0000
-7 76 105 ee0000
-6 76 105 ee0000
-5 76 105 ee0000
-4 76 105 ee0000
-3 76 105 ee0000
-2 76 105 ee0000
-1 76 105 ee0000
-13 77 105 ffcc66
-12 77 105 ffcc66
-11 77 105 ee0000
-10 77 105 ee0000
-9 77 105 ee0000
-8 77 105 ee0000
-7 77 105 ee0000
-6 77 105 ee0000
-5 77 105 ee0000
-4 77 105 ee0000
-3 77 105 ee0000
-2 77 105 ee0000
-1 77 105 ee0000
-13 78 105 ffcc66
-12 78 105 ffcc66
-11 78 105 ee0000
-10 78 105 ee0000
-9 78 105 ee0000
-8 78 105 bbbbbb
-7 78 105 bbbbbb
-6 78 105 ee0000
-5 78 105 ee0000
-4 78 105 ee0000
-3 78 105 ee0000
-2 78 105 ee0000
-1 78 105 ee0000
-13 79 105 ffcc66
-12 79 105 ee0000
-11 79 105 ee0000
-10 79 105 ee0000
-9 79 105 ee0000
-8 79 105 bbbbbb
-7 79 105 bbbbbb
-6 79 105 ee0000
-5 79 105 ee0000
-4 79 105 ee0000
-3 79 105 ee0000
-2 79 105 ee0000
-1 79 105 33ffff
-7 68 106 ffcc66
-6 68 106 ffcc66
-5 68 106 ffcc66
-4 68 106 ffcc66
-3 68 106 ffcc66
-2 68 106 ffcc66
-8 69 106 ffcc66
-7 69 106 ffcc66
-6 69 106 ffcc66
-5 69 106 ee0000
-4 69 106 ee0000
-3 69 106 ffcc66
-2 69 106 ffcc66
-1 69 106 ffcc66
-9 70 106 ffcc66
-8 70 106 ffcc66
-7 70 106 ee0000
-6 70 106 ee0000
-5 70 106 ee0000
-4 70 106 ee0000
-3 70 106 ee0000
-2 70 106 ee0000
-1 70 106 ffcc66
-10 71 106 ffcc66
-9 71 106 ffcc66
-8 71 106 ee0000
-7 71 106 ee0000
-6 71 106 ee0000
-5 71 106 ee0000
-4 71 106 ee0000
-3 71 106 ee0000
-2 71 106 ee0000
-1 71 106 ee0000
-10 72 106 ffcc66
-9 72 106 ee0000
-8 72 106 ee0000
-7 72 106 ee0000
-6 72 106 ee0000
-5 72 106 ee0000
-4 72 106 ee0000
-3 72 106 ee0000
-2 72 106 ee0000
-1 72 106 ee0000
-11 73 106 ffcc66
-10 73 106 ffcc66
-9 73 106 ee0000
-8 73 106 ee0000
-7 73 106 ee0000
-6 73 106 ee0000
-5 73 106 ee0000
-4 73 106 ee0000
-3 73 106 ee0000
-2 73 106 ee0000
-1 73 106 ee0000
-11 74 106 ffcc66
-10 74 106 ee0000
-9 74 106 ee0000
-8 74 106 ee0000
-7 74 106 ee0000
-6 74 106 ee0000
-5 74 106 ee0000
-4 74 106 ee0000
-3 74 106 ee0000
-2 74 106 ee0000
-1 74 106 ee0000
-12 75 106 ffcc66
-11 75 106 ffcc66
-10 75 106 ee0000
-9 75 106 ee0000
-8 75 106 ee0000
-7 75 106 ee0000
-6 75 106 ee0000
-5 75 106 ee0000
-4 75 106 ee0000
-3 75 106 ee0000
-2 75 106 ee0000
-1 75 106 ee0000
-12 76 106 ffcc66
-11 76 106 ee0000
-10 76 106 ee0000
-9 76 106 ee0000
-8 76 106 ee0000
-7 76 106 ee0000
-6 76 106 ee0000
-5 76 106 ee0000
-4 76 106 ee0000
-3 76 106 ee0000
-2 76 106 ee0000
-1 76 106 ee0000
-12 77 106 ffcc66
-11 77 106 ee0000
-10 77 106 bbbbbb
-9 77 106 bbbbbb
-8 77 106 ee0000
-7 77 106 ee0000
-6 77 106 ee0000
-5 77 106 ee0000
-4 77 106 ee0000
-3 77 106 ee0000
-2 77 106 ee0000
-1 77 106 ee0000
-13 78 106 ffcc66
-12 78 106 ffcc66
-11 78 106 ee0000
-10 78 106 bbbbbb
-9 78 106 bbbbbb
-8 78 106 bbbbbb
-7 78 106 ee0000
-6 78 106 ee0000
-5 78 106 ee0000
-4 78 106 ee0000
-3 78 106 ee0000
-2 78 106 ee0000
-1 78 106 ee0000
-13 79 106 ffcc66
-12 79 106 ffcc66
-11 79 106 ee0000
-10 79 106 bbbbbb
-9 79 106 bbbbbb
-8 79 106 bbbbbb
-7 79 106 ee0000
-6 79 106 ee0000
-5 79 106 ee0000
-4 79 106 ee0000
-3 79 106 ee0000
-2 79 106 ee0000
-1 79 106 33ffff
-7 68 107 ffcc66
-6 68 107 ffcc66
-5 68 107 ffcc66
-4 68 107 ffcc66
-3 68 107 ffcc66
-2 68 107 ffcc66
-8 69 107 ffcc66
-7 69 107 ffcc66
-6 69 107 ee0000
-5 69 107 ee0000
-4 69 107 ee0000
-3 69 107 ee0000
-2 69 107 ffcc66
-1 69 107 ffcc66
-9 70 107 ffcc66
-8 70 107 ffcc66
-7 70 107 ee0000
-6 70 107 ee0000
-5 70 107 ee0000
-4 70 107 ee0000
-3 70 107 ee0000
-2 70 107 ee0000
-1 70 107 ffcc66
-10 71 107 ffcc66
-9 71 107 ffcc66
-8 71 107 ee0000
-7 71 107 ee0000
